,Genus_Organism,Current_name_reviewed_AA,strain,ITS,TEF,TUB,rpb2,MAT1,MAT2,Genus_Host,Species_Host,Country,Title
12086,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42347,KP860868,KP860711,KP860788,KU587913,NA,NA,Rhizophora,Rhizophora mucronata,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12087,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42350,KP860872,KP860715,KP860792,NA,NA,NA,Rhizophora,Rhizophora mucronata,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12088,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42354,KP860878,KP860721,KP860798,KU587923,NA,NA,Ceriops,Ceriops tagal,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12089,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42355,KP860879,KP860722,KP860799,NA,NA,NA,Lumnitzera,Lumnitzera racemosa,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12090,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42356,KP860880,KP860723,KP860800,NA,NA,NA,Lumnitzera,Lumnitzera racemosa,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12091,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42357,KP860884,KP860727,KP860804,KU587928,NA,NA,Bruguiera,Bruguiera gymnorhiza,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12092,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42362,KP860892,KP860735,KP860812,KU587934,NA,NA,Bruguiera,Bruguiera gymnorhiza,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12093,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42485,KP860896,KP860739,KP860816,KU587936,NA,NA,Avicennia,Avicennia marina,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12094,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW42365,KP860899,KP860742,KP860819,KU587939,NA,NA,Bruguiera,Bruguiera gymnorhiza,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12095,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW41370,KP860902,KP860745,KP860822,KU587942,NA,NA,Avicennia,Avicennia marina,South Africa,"Endophytic Botryosphaeriaceae, including five new species, associated with mangrove trees in South Africa"
12096,Neofusicoccum,Neofusicoccum cryptoaustrale,LM03,KX505912,KX505903,KX505930,NA,KX505955,KX505890,Pistacia,Pistacia lentiscus,NA,Mating type genes as phylogenetic markers to delimit Neofusicoccum species
12097,Neofusicoccum,Neofusicoccum cryptoaustrale,BL34,KJ638328,KX505904,KX505931,NA,KX505956,KX505891,Vitis,Vitis vinifera,Italy,Mating type genes as phylogenetic markers to delimit Neofusicoccum species
12098,Neofusicoccum,Neofusicoccum cryptoaustrale,BL94,KX833084,KX833085,NA,NA,NA,NA,NA,NA,Italy,Botryosphaeriaceae species associated with lentisk dieback in Italy and description of Diplodia insularis sp. nov
12099,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46663,KY052976,KY024644,NA,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12100,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46637,KY053000,KY024667,KY000171,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12101,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46591,KY053037,KY024685,NA,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12102,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46642,KY053041,KY024686,KY000203,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12103,Neofusicoccum,Neofusicoccum cryptoaustrale,PEL05,KY053043,KY024687,KY000205,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12104,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46654,KY053046,KY024688,KY000208,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12105,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46643,KY053047,KY024689,KY000209,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12106,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46644,KY053048,KY024690,KY000210,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12107,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46645,KY053049,KY024691,KY000211,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12108,Neofusicoccum,Neofusicoccum cryptoaustrale,PEL18,KY053050,KY024692,NA,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12109,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46646,KY053051,KY024693,KY000212,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12110,Neofusicoccum,Neofusicoccum cryptoaustrale,BRIP63679,MH057200,MH102263,NA,NA,NA,NA,Mangifera,Mangifera indica,Australia,Australian cultures of Botryosphaeriaceae held in Queensland and Victoria plant pathology herbaria revisited
12111,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW35485,KM103231,NA,KM103191,NA,NA,NA,NA,NA,South Africa,Botryosphaeriaceae associated with Podocarpaceae in South Africa
12112,Neofusicoccum,Neofusicoccum cryptoaustrale,EL14,KY053019,NA,KY000186,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12113,Neofusicoccum,Neofusicoccum cryptoaustrale,EL46,KY053032,NA,KY000198,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12114,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46652,KY053044,NA,KY000206,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12115,Neofusicoccum,Neofusicoccum cryptoaustrale,CMW46653,KY053045,NA,KY000207,NA,NA,NA,Syzygium,Syzygium cordatum,South Africa,Communities of the Botryosphaeriaceae along a temperature cline on a native tree host
12116,Neofusicoccum,Neofusicoccum eucalypticola,CMW6543,AY615140,AY615132,AY615124,NA,NA,NA,Eucalyptus,Eucalyptus sp.,Australia,Speciation and distribution of Botryospaeria spp. on native and introduced Eucalyptus trees in Australia and South Africa
12117,Neofusicoccum,Neofusicoccum eucalypticola,CBS115679,AY615141,AY615133,AY615125,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Australia,Phylogenetic lineages in the Botryosphaeriales: a systematic and evolutionary framework
12118,Neofusicoccum,Neofusicoccum eucalypticola,CMW6229,AY615142,AY615134,AY615126,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Australia,Speciation and distribution of Botryospaeria spp. on native and introduced Eucalyptus trees in Australia and South Africa
12119,Neofusicoccum,Neofusicoccum eucalypticola,CMW6217,AY615143,AY615135,AY615127,NA,NA,NA,Eucalyptus,Eucalyptus racemosa,Australia,Speciation and distribution of Botryospaeria spp. on native and introduced Eucalyptus trees in Australia and South Africa
12120,Neofusicoccum,Neofusicoccum eucalypticola,MUCC388,DQ131571,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Australia,Gene flow of the canker pathogen Botryosphaeria australis between Eucalyptus globulus plantations and native eucalypt forests in Western Australia
12121,Neofusicoccum,Neofusicoccum eucalyptorum,CBS115791,AF283686,AY236891,AY236920,NA,NA,NA,Eucalyptus,Eucalyptus grandis,South Africa,NA
12122,Neofusicoccum,Neofusicoccum eucalyptorum,CMW10126,NA,AY236892,AY236921,NA,NA,NA,Eucalyptus,Eucalyptus grandis,South Africa,Combined multiple gene genealogies and phenotypic characters differentiate several species previously identified as Botryosphaeria dothidea
12123,Neofusicoccum,Neofusicoccum eucalyptorum,CMW11705,AY339256,AY339264,AY339248,NA,NA,NA,Eucalyptus,Eucalyptus sp.,South Africa,Multiple gene sequences delimit Botryosphaeria australis sp. nov. from B. lutea
12124,Neofusicoccum,Neofusicoccum eucalyptorum,CMW6233,AY615138,AY615130,AY615122,NA,NA,NA,Eucalyptus,Eucalyptus nitens,Australia,Speciation and distribution of Botryospaeria spp. on native and introduced Eucalyptus trees in Australia and South Africa
12125,Neofusicoccum,Neofusicoccum eucalyptorum,CMW6804,AY615139,AY615131,AY615123,NA,NA,NA,Eucalyptus,Eucalyptus dunnii,Australia,Speciation and distribution of Botryospaeria spp. on native and introduced Eucalyptus trees in Australia and South Africa
12126,Neofusicoccum,Neofusicoccum eucalyptorum,CMW37387,JQ744579,JQ744600,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,NA,Muti-locus DNA sequencing reveals novel host associations of Botryosphaeriaceae in the Myrtaceae
12127,Neofusicoccum,Neofusicoccum eucalyptorum,CMW37388,JQ744580,JQ744601,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,NA,Muti-locus DNA sequencing reveals novel host associations of Botryosphaeriaceae in the Myrtaceae
12128,Neofusicoccum,Neofusicoccum eucalyptorum,CMW37386,JQ744581,JQ744602,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,NA,Muti-locus DNA sequencing reveals novel host associations of Botryosphaeriaceae in the Myrtaceae
12129,Neofusicoccum,Neofusicoccum eucalyptorum,CMW37385,JQ744582,JQ744603,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,NA,Muti-locus DNA sequencing reveals novel host associations of Botryosphaeriaceae in the Myrtaceae
12130,Neofusicoccum,Neofusicoccum eucalyptorum,CMW40036,KF923239,KF923272,KF923260,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Zimbabwe,Diseases and pests of eucalypts in Zimbabwe's plantations and woodlots
12131,Neofusicoccum,Neofusicoccum eucalyptorum,CMW40037,KF923240,KF923273,KF923261,NA,NA,NA,Eucalyptus,Eucalyptus sp.,Zimbabwe,Diseases and pests of eucalypts in Zimbabwe's plantations and woodlots
12132,Neofusicoccum,Neofusicoccum eucalyptorum,CMW40038,KF923241,KF923274,KF923262,NA,NA,NA,Eucalyptus,Eucalyptus sp.,Zimbabwe,Diseases and pests of eucalypts in Zimbabwe's plantations and woodlots
12133,Neofusicoccum,Neofusicoccum eucalyptorum,CAA369,KT440922,KT440982,KX871773,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12134,Neofusicoccum,Neofusicoccum eucalyptorum,CAA450,KT440923,KT440983,KX871774,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12135,Neofusicoccum,Neofusicoccum eucalyptorum,CAA517,KT440924,KT440984,KX871775,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12136,Neofusicoccum,Neofusicoccum eucalyptorum,CAA520,KT440925,KT440985,KX871777,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12137,Neofusicoccum,Neofusicoccum eucalyptorum,CAA522,KT440926,KT440986,KX871778,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12138,Neofusicoccum,Neofusicoccum eucalyptorum,CAA528,KT440927,KT440987,KX871779,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12139,Neofusicoccum,Neofusicoccum eucalyptorum,CAA532,KT440928,KT440988,KX871780,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12140,Neofusicoccum,Neofusicoccum eucalyptorum,CAA535,KT440929,KT440989,KX871781,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12141,Neofusicoccum,Neofusicoccum eucalyptorum,CAA536,KT440930,KT440990,KX871782,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12142,Neofusicoccum,Neofusicoccum eucalyptorum,CAA542,KT440931,KT440991,KX871784,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12143,Neofusicoccum,Neofusicoccum eucalyptorum,CAA558,KT440932,KT440992,KX871785,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12144,Neofusicoccum,Neofusicoccum eucalyptorum,CAA601,KT440933,KT440993,KX871787,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12145,Neofusicoccum,Neofusicoccum eucalyptorum,CAA604,KT440934,KT440994,KX871788,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12146,Neofusicoccum,Neofusicoccum eucalyptorum,CAA618,KT440935,KT440995,KX871789,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12147,Neofusicoccum,Neofusicoccum eucalyptorum,CAA624,KT440936,KT440996,KX871790,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12148,Neofusicoccum,Neofusicoccum eucalyptorum,CAA651,KT440937,KT440997,KX871791,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12149,Neofusicoccum,Neofusicoccum eucalyptorum,CAA680,KT440938,KT440998,KX871792,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12150,Neofusicoccum,Neofusicoccum eucalyptorum,CAA683,KT440939,KT440999,KX871793,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12151,Neofusicoccum,Neofusicoccum eucalyptorum,CAA695,KT440940,KT441000,KX871794,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12152,Neofusicoccum,Neofusicoccum eucalyptorum,CAA709,KT440941,KT441001,KX505920,NA,KX505945,KX505882,Eucalyptus,Eucalyptus globulus,Portugal,Mating type genes as phylogenetic markers to delimit Neofusicoccum species
12153,Neofusicoccum,Neofusicoccum eucalyptorum,CAA712,KT440942,KT441002,KX871795,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12154,Neofusicoccum,Neofusicoccum eucalyptorum,CAA713,KT440943,KT441003,KX505921,NA,KX505946,KX505883,Eucalyptus,Eucalyptus globulus,Portugal,Mating type genes as phylogenetic markers to delimit Neofusicoccum species
12155,Neofusicoccum,Neofusicoccum eucalyptorum,PE20,KT440944,KT441004,KX871797,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12156,Neofusicoccum,Neofusicoccum eucalyptorum,PE21,KT440945,KT441005,KX871798,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12157,Neofusicoccum,Neofusicoccum eucalyptorum,CAA511,KX505907,KX505896,KX505919,NA,KX505944,KX505881,Eucalyptus,Eucalyptus globulus,Portugal,Mating type genes as phylogenetic markers to delimit Neofusicoccum species
12158,Neofusicoccum,Neofusicoccum eucalyptorum,CAA518,KX871883,KX871839,KX871776,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12159,Neofusicoccum,Neofusicoccum eucalyptorum,CAA539,KX871884,KX871840,KX871783,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12160,Neofusicoccum,Neofusicoccum eucalyptorum,CAA561,KX871885,KX871841,KX871786,NA,NA,NA,Fraxinus,Fraxinus excelsior,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12161,Neofusicoccum,Neofusicoccum eucalyptorum,CAA714,KX871886,KX871842,KX871796,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12162,Neofusicoccum,Neofusicoccum eucalyptorum,PE23,KX871887,KX871843,KX871799,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,Diversity and phylogeny of Neofusicoccum species occurring in forest and urban environments in Portugal
12163,Neofusicoccum,Neofusicoccum eucalyptorum,CAA842,MK932723,MK932757,NA,NA,NA,NA,Vaccinium,Vaccinium corymbosum,Portugal,Botryosphaeriaceae species associated with blueberry stem blight and dieback in the Centre Region of Portugal
12164,Neofusicoccum,Neofusicoccum eucalyptorum,CAA845,MK932740,MK932764,NA,NA,NA,NA,Vaccinium,Vaccinium corymbosum,Portugal,Botryosphaeriaceae species associated with blueberry stem blight and dieback in the Centre Region of Portugal
12165,Neofusicoccum,Neofusicoccum eucalyptorum,CAA932,MK940311,MT309422,MT309396,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,A review of Botryosphaeriaceae species on forest hosts in Portugal
12166,Neofusicoccum,Neofusicoccum eucalyptorum,MUCC387,DQ131570,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Australia,Gene flow of the canker pathogen Botryosphaeria australis between Eucalyptus globulus plantations and native eucalypt forests in Western Australia
12167,Neofusicoccum,Neofusicoccum eucalyptorum,UY40,EU080910,NA,NA,NA,NA,NA,NA,NA,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12168,Neofusicoccum,Neofusicoccum eucalyptorum,UY88,EU080913,NA,NA,NA,NA,NA,NA,NA,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12169,Neofusicoccum,Neofusicoccum eucalyptorum,UY394,EU080919,NA,NA,NA,NA,NA,NA,NA,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12170,Neofusicoccum,Neofusicoccum eucalyptorum,UY587,EU080921,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus tereticornis,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12171,Neofusicoccum,Neofusicoccum eucalyptorum,UY1070,EU080929,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus maidenii,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12172,Neofusicoccum,Neofusicoccum eucalyptorum,UY1190,EU080930,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12173,Neofusicoccum,Neofusicoccum eucalyptorum,UY1233,EU080932,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus viminalis,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12174,Neofusicoccum,Neofusicoccum eucalyptorum,UY1298,EU080934,NA,NA,NA,NA,NA,Myrrhinium,Myrrhinium atropurpureum ,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12175,Neofusicoccum,Neofusicoccum eucalyptorum,UY77,EU860370,NA,NA,NA,NA,NA,NA,NA,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12176,Neofusicoccum,Neofusicoccum eucalyptorum,UY185,EU860371,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus maidenii,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12177,Neofusicoccum,Neofusicoccum eucalyptorum,UY336,EU860372,NA,NA,NA,NA,NA,Myrceugenia,Myrceugenia glaucescens,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12178,Neofusicoccum,Neofusicoccum eucalyptorum,UY966,EU860373,NA,NA,NA,NA,NA,NA,NA,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12179,Neofusicoccum,Neofusicoccum eucalyptorum,UY1074,EU860374,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12180,Neofusicoccum,Neofusicoccum eucalyptorum,UY1149,EU860375,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus dunnii,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12181,Neofusicoccum,Neofusicoccum eucalyptorum,UY1177,EU860376,NA,NA,NA,NA,NA,Blepharocalyx,Blepharocalyx salicifolius,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12182,Neofusicoccum,Neofusicoccum eucalyptorum,UY1314,EU860377,NA,NA,NA,NA,NA,NA,NA,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
12183,Neofusicoccum,Neofusicoccum eucalyptorum,CMW30155,FJ826605,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Zambia,Identification of fungal pathogens occurring in eucalypt and pine plantations in Zambia by comparing DNA sequences
12184,Neofusicoccum,Neofusicoccum eucalyptorum,CMW30156,FJ826606,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Zambia,Identification of fungal pathogens occurring in eucalypt and pine plantations in Zambia by comparing DNA sequences
12185,Neofusicoccum,Neofusicoccum eucalyptorum,CMW30157,FJ826607,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Zambia,Identification of fungal pathogens occurring in eucalypt and pine plantations in Zambia by comparing DNA sequences
12186,Neofusicoccum,Neofusicoccum eucalyptorum,EFA89,JQ660365,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus sp.,Spain,Detection of Neofusicoccum spp. in Galicia (NW Spain)
12187,Neofusicoccum,Neofusicoccum eucalyptorum,MA,KC479184,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus nitens,Mexico,Botryosphaeria eucalyptorum (Neofusicoccum eucalyptorum) and N. parvum pathogens in plantations of eucalyptus in Mexico
12188,Neofusicoccum,Neofusicoccum eucalyptorum,MT,KC479188,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus nitens,Mexico,Botryosphaeria eucalyptorum (Neofusicoccum eucalyptorum) and N. parvum pathogens in plantations of eucalyptus in Mexico
12189,Neofusicoccum,Neofusicoccum eucalyptorum,CPC29337,MN161921,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus sp.,New Zealand,Foliar pathogens of eucalypts
12190,Neofusicoccum,Neofusicoccum eucalyptorum,CAA927,MT260979,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,A review of Botryosphaeriaceae species on forest hosts in Portugal
12191,Neofusicoccum,Neofusicoccum eucalyptorum,CAA929,MT260982,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,A review of Botryosphaeriaceae species on forest hosts in Portugal
12192,Neofusicoccum,Neofusicoccum eucalyptorum,CAA930,MT260984,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,A review of Botryosphaeriaceae species on forest hosts in Portugal
12193,Neofusicoccum,Neofusicoccum eucalyptorum,CAA931,MT260987,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,A review of Botryosphaeriaceae species on forest hosts in Portugal
12194,Neofusicoccum,Neofusicoccum eucalyptorum,CAA933,MT261016,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus globulus,Portugal,A review of Botryosphaeriaceae species on forest hosts in Portugal
12195,Neofusicoccum,Neofusicoccum grevilleae,CBS129518,JF951137,NA,NA,NA,NA,NA,Grevillea,Grevillea aurea,Australia,Fungal Planet description sheets: 69-91
12196,Neofusicoccum,Neofusicoccum grevilleae,LGMF1116,JX559538,NA,NA,NA,NA,NA,Vochysia,Vochysia divergens,Brazil,"Diversity of endophytic fungi of Vochysia divergens Pohl of the Pantanal of Mato Grosso do Sul, Brazil"
12197,Neofusicoccum,Neofusicoccum grevilleae,CPC16999,NR_168143,NA,NA,NA,NA,NA,Grevillea,Grevillea aurea,Australia,Fungal Planet description sheets: 69-91
12198,Neofusicoccum,Neofusicoccum hellenicum,CERC1947,KP217053,KP217061,KP217069,NA,NA,NA,Pistacia,Pistacia vera,Greece,Novel species of Botryosphaeriaceae associated with shoot blight of pistachio
12199,Neofusicoccum,Neofusicoccum hellenicum,CERC1948,KP217054,KP217062,KP217070,NA,NA,NA,Pistacia,Pistacia vera,Greece,Novel species of Botryosphaeriaceae associated with shoot blight of pistachio
12200,Neofusicoccum,Neofusicoccum hellenicum,CERC1953,KP217055,KP217063,KP217071,NA,NA,NA,Pistacia,Pistacia vera,Greece,Novel species of Botryosphaeriaceae associated with shoot blight of pistachio
12201,Neofusicoccum,Neofusicoccum hellenicum,CERC1957,KP217056,KP217064,KP217072,NA,NA,NA,Pistacia,Pistacia vera,Greece,Novel species of Botryosphaeriaceae associated with shoot blight of pistachio
12202,Neofusicoccum,Neofusicoccum hellenicum,CERC1959,KP217057,KP217065,KP217073,NA,NA,NA,Pistacia,Pistacia vera,Greece,Novel species of Botryosphaeriaceae associated with shoot blight of pistachio
12203,Neofusicoccum,Neofusicoccum hellenicum,02_K91,KY031525,KY031532,NA,NA,NA,NA,NA,NA,NA,TrunkDiseaseID.org: A molecular database for fast and accurate identification of fungi commonly isolated from grapevine wood
12204,Neofusicoccum,Neofusicoccum hongkongense,CERC2967,KX278050,KX278155,KX278259,KX278281,NA,NA,Araucaria,Araucaria cunninghamii,China,Botryosphaeriaceae from Eucalyptus plantations and adjacent plants in China
